epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,55.3574,0.58845,0.67173,1,0.58093,0.0673793,0.000329502,0.000329502
2,111.168,0.54286,0.56659,1,0.69575,0.0343783,0.000661824,0.000661824
3,164.674,0.52273,0.64019,1,0.58161,0.00137324,0.000990098,0.000990098
4,218.514,0.5186,0.6472,1,0.56686,0.000986323,0.000986323,0.000986323
5,272.297,0.51195,0.65187,1,0.57031,0.000975773,0.000975773,0.000975773
6,326.032,0.51093,0.64369,1,0.58873,0.00096232,0.00096232,0.00096232
7,380.789,0.50332,0.66822,1,0.55691,0.000946048,0.000946048,0.000946048
8,515.04,0.508,0.66822,1,0.57786,0.000927057,0.000927057,0.000927057
9,593.02,0.48938,0.66706,1,0.56903,0.000905463,0.000905463,0.000905463
